region_code,year,gdp_pc_pps,unemployment_rate,tertiary_share_25_64,std_gdp_pc_pps,std_unemployment_rate,std_tertiary_share_25_64,mahal_dist,flag_zscore,flag_mahal,flag_iforest,flag_lof,flag_ocsvm,flag_at_least_3,PC1,PC2
AT11,2022,86.0,3.9,31.4,0.0988181121882987,-0.9466060179244432,-0.10622094532503432,0.912130598806154,False,False,False,False,False,False,0.23687977134224172,-0.9231536210773127
AT12,2022,101.0,13.2,34.1,0.5068338302367518,0.3290044413189519,0.15055999691261598,0.541206522428781,False,False,False,False,False,False,0.3753166210362552,0.36219414842547515
AT13,2022,140.0,20.7,45.6,1.335492168692945,1.3577225536120126,1.2442566027396438,4.7571469407126,False,False,False,False,False,False,1.4266162369277362,1.7121299758596946
AT21,2022,110.0,3.9,33.3,0.7234629425664638,-0.9466060179244432,0.07447675476812668,1.2706407162306483,False,False,False,False,False,False,0.797876973601999,-0.8579999350652135
AT22,2022,114.0,9.9,32.2,0.8141095009107175,-0.12363152808999466,-0.03013770318054501,1.1198319145448805,False,False,False,False,False,False,0.5864060578094428,-0.12432082576901658
AT31,2022,127.0,6.6,32.4,1.0881667197666856,-0.5762674974989415,-0.011116892644423195,1.9205836842749429,False,False,False,False,False,False,0.9061494407432209,-0.5406064156707405
AT32,2022,149.0,2.8,33.2,1.4936090715183963,-1.097484674394092,0.0649663495000661,3.694079640536044,False,False,False,False,True,False,1.3736906846916364,-1.0006698846734166
AT33,2022,127.0,2.8,31.9,1.0881667197666856,-1.097484674394092,-0.05866891898472875,2.517603640620691,False,False,False,False,False,False,1.0053603886052902,-1.045194659241032
AT34,2022,147.0,3.0,29.9,1.4593134978578177,-1.0700521913996106,-0.248877024345951,4.4000869023557225,False,False,False,False,False,False,1.1349426663164273,-1.0855672405299968
BE10,2022,194.0,23.8,53.5,2.163373500306534,1.782926040026478,1.9955786189164715,10.348844177602166,False,False,True,False,False,False,2.402160532863526,2.376654349019143
BE21,2022,141.0,8.0,47.1,1.3535551191755157,-0.38424011653757006,1.3869126817605604,2.387393772431718,False,False,False,False,False,False,1.9704750660696548,0.1319591467026191
BE22,2022,96.0,7.7,43.7,0.37798210531332105,-0.4253888410292925,1.063558902646483,1.5289262985596845,False,False,False,False,False,False,1.0774062478038804,-0.022795602242953794
BE23,2022,113.0,5.0,49.6,0.7917495868461654,-0.7957273614547944,1.6246728134620882,3.49521874406058,False,False,False,False,False,False,1.833892977189398,-0.17086374568979618
BE24,2022,134.0,12.9,51.6,1.2243283910996818,0.28785571682722966,1.8148809188233106,3.444863930180511,False,False,False,False,False,False,1.9937874968377705,0.9113741802295741
BE25,2022,116.0,5.6,39.8,0.8582468539148763,-0.7134299124713496,0.6926530971920989,1.120906436586951,False,False,False,False,False,False,1.2436483885808645,-0.4217903924938109
BE31,2022,145.0,8.2,60.7,1.424548107223756,-0.3568076335430886,2.680327798216872,7.431173760729731,False,False,True,False,False,False,2.869470314072565,0.6131590444137203
BE32,2022,73.0,20.5,34.2,-0.3171020307041362,1.3302900706175311,0.16007040218067722,1.81825088137124,False,False,False,False,False,False,-0.45171079235902895,1.3006932645400715
BE33,2022,86.0,14.6,41.5,0.0988181121882987,0.5210318222803233,0.8543299867491381,1.1547545547470421,False,False,False,False,False,False,0.5044223944014613,0.7886856393464611
BE34,2022,74.0,4.7,42.1,-0.28257314664768857,-0.8368760859465167,0.911392418357505,3.301528082310196,False,False,False,False,False,False,0.6130670016216541,-0.4631360377344766
BE35,2022,79.0,16.2,43.3,-0.11664256833934006,0.7404916862361762,1.025517281574238,2.151775501622414,False,False,False,False,False,False,0.41038666782841854,1.0538310854147566
BG31,2022,41.0,23.8,18.8,-1.7811463252476796,1.782926040026478,-1.3045320091007342,5.47288943199575,False,False,False,False,False,False,-2.56881624843312,1.205128112496399
BG32,2022,42.0,19.5,26.3,-1.7199907436477362,1.1931276556451231,-0.5912516139961508,3.8161155956376436,False,False,False,False,False,False,-1.9058386585830347,0.904352316046016
BG33,2022,48.0,13.0,28.7,-1.381110258175549,0.3015719583244704,-0.36300188756268426,2.266011376615282,False,False,False,False,False,False,-1.2918227529041277,0.15106685494623948
BG34,2022,58.0,12.3,21.8,-0.9008455095739948,0.20555826784378484,-1.0192198510589008,1.1792446691401304,False,False,False,False,False,False,-1.3624797937244384,-0.16863924830605145
BG41,2022,97.0,12.3,43.2,0.40428113681766287,0.20555826784378484,1.0160068763061774,1.119620251940618,False,False,False,False,False,False,0.9063527093506277,0.5510806282056495
BG42,2022,43.0,6.3,22.8,-1.6602742513005713,-0.6174162219906639,-0.9241157983782897,3.8733640918492402,False,False,False,False,False,False,-1.62994451338906,-0.9073140168323144
CH01,2022,,11.1,43.5,0.03910161984113383,0.040963369876894966,1.0445380921103604,1.667568922211573,False,False,False,False,False,False,0.7084120764498706,0.40616839082682255
CH02,2022,,8.7,40.8,0.03910161984113383,-0.28822642605688453,0.7877571498727101,1.1291653891382911,False,False,False,False,False,False,0.6210591526692119,0.007654059405764709
CH03,2022,,7.7,44.8,0.03910161984113383,-0.4253888410292925,1.1681733605951545,2.528532927632152,False,False,False,False,False,False,0.9071226804903807,0.013199269935126646
CH04,2022,,8.0,55.2,0.03910161984113383,-0.38424011653757006,2.1572555084735106,7.8883373349365815,False,False,False,False,False,False,1.551165616485248,0.39992147146100937
CH05,2022,,4.5,39.2,0.03910161984113383,-0.8643085689409984,0.6355906655837328,1.6428468031413928,False,False,False,False,False,False,0.6648138405630862,-0.5851162348362877
CH06,2022,,5.1,44.1,0.03910161984113383,-0.7820111199575536,1.1016005237187272,2.9136760473649734,False,False,False,False,False,False,0.9524854272058065,-0.34402818165405596
CH07,2022,,11.3,39.5,0.03910161984113383,0.06839585287137673,0.6641218813879158,0.6492515747825488,False,False,False,False,False,False,0.4498581310673696,0.2979184481182769
CY00,2022,98.0,7.2,48.0,0.43031042991188045,-0.49397004851549653,1.4725063291731104,2.958320646062235,False,False,False,False,False,False,1.4021336560886188,0.05711343311990941
CZ01,2022,199.0,2.1,51.5,2.227952909263586,-1.193498364874778,1.8053705135552494,5.972425972127239,False,False,True,False,True,False,3.0681594324355945,-0.4760154865927358
CZ02,2022,80.0,5.7,24.9,-0.08471970932373887,-0.6997136709741086,-0.7243972877490066,1.0804691966761937,False,False,False,False,False,False,-0.363701574324329,-0.9101500627923291
CZ03,2022,74.0,9.5,21.7,-0.28257314664768857,-0.17849649407895793,-1.028730256326962,1.2408344149199249,False,False,False,False,False,False,-0.8355408968518069,-0.5299308860014158
CZ04,2022,62.0,15.4,15.6,-0.7315938832506796,0.6307617542582499,-1.6088649776786896,3.227056326063759,False,False,False,False,False,False,-1.7395640681204874,0.02217303552706714
CZ05,2022,71.0,9.8,22.9,-0.3876019482574759,-0.1373477695872354,-0.9146053931102288,0.8856232038456249,False,False,False,False,False,False,-0.8445802904972552,-0.45149750606410627
CZ06,2022,83.0,9.0,27.2,0.008708037056967306,-0.24707770156516198,-0.505657966583601,0.43028988573249305,False,False,False,False,False,False,-0.266437052648523,-0.40925536641525695
CZ07,2022,71.0,18.0,24.0,-0.3876019482574759,0.9873840331865109,-0.8099909351615564,1.8050113452924457,False,False,False,False,False,False,-1.057342459306074,0.6380556833546985
CZ08,2022,70.0,22.3,22.4,-0.42360019479592387,1.5771824175678657,-0.9621574194505343,3.8521925204873755,False,False,False,False,False,False,-1.3313178720357404,1.1364344889258118
DE11,2022,147.0,5.2,36.2,1.4593134978578177,-0.7682948784603127,0.35027850754189943,2.684145422500135,False,False,False,False,False,False,1.4556818805023033,-0.5921955789757275
DE12,2022,127.0,5.8,36.2,1.0881667197666856,-0.6859974294768679,0.35027850754189943,1.4832053364077833,False,False,False,False,False,False,1.1727517454660814,-0.5160813283842497
DE13,2022,109.0,2.3,33.2,0.7002862168343276,-1.1660658818802963,0.0649663495000661,1.6343763629693344,False,False,False,False,False,False,0.8302247006099039,-1.0668146470858566
DE14,2022,125.0,2.1,35.0,1.0478827972940226,-1.193498364874778,0.23615364432516583,2.1706696408227546,False,False,False,False,False,False,1.196011026534714,-1.0313677895435245
