region_code,year,gdp_pc_pps,unemployment_rate,tertiary_share_25_64,pop_density
AL01,2022,,,,74.0
AL02,2022,,,,238.8
AL03,2022,,,,64.9
AT11,2022,86.0,3.9,31.4,79.2
AT12,2022,101.0,13.2,34.1,90.4
AT13,2022,140.0,20.7,45.6,4941.5
AT21,2022,110.0,3.9,33.3,60.5
AT22,2022,114.0,9.9,32.2,77.5
AT31,2022,127.0,6.6,32.4,129.2
AT32,2022,149.0,2.8,33.2,80.1
AT33,2022,127.0,2.8,31.9,61.4
AT34,2022,147.0,3.0,29.9,159.6
BE10,2022,194.0,23.8,53.5,7660.0
BE21,2022,141.0,8.0,47.1,678.8
BE22,2022,96.0,7.7,43.7,373.8
BE23,2022,113.0,5.0,49.6,523.4
BE24,2022,134.0,12.9,51.6,558.7
BE25,2022,116.0,5.6,39.8,386.2
BE31,2022,145.0,8.2,60.7,375.8
BE32,2022,73.0,20.5,34.2,357.3
BE33,2022,86.0,14.6,41.5,291.6
BE34,2022,74.0,4.7,42.1,66.4
BE35,2022,79.0,16.2,43.3,137.8
BG31,2022,41.0,23.8,18.8,35.9
BG32,2022,42.0,19.5,26.3,47.1
BG33,2022,48.0,13.0,28.7,56.7
BG34,2022,58.0,12.3,21.8,48.5
BG41,2022,97.0,12.3,43.2,99.7
BG42,2022,43.0,6.3,22.8,58.9
CH01,2022,,11.1,43.5,205.2
CH02,2022,,8.7,40.8,196.2
CH03,2022,,7.7,44.8,619.0
CH04,2022,,8.0,55.2,950.6
CH05,2022,,4.5,39.2,107.3
CH06,2022,,5.1,44.1,196.9
CH07,2022,,11.3,39.5,129.2
CY00,2022,98.0,7.2,48.0,100.6
CZ01,2022,199.0,2.1,51.5,2714.2
CZ02,2022,80.0,5.7,24.9,131.8
CZ03,2022,74.0,9.5,21.7,72.1
CZ04,2022,62.0,15.4,15.6,129.1
CZ05,2022,71.0,9.8,22.9,123.6
CZ06,2022,83.0,9.0,27.2,124.8
CZ07,2022,71.0,18.0,24.0,132.0
CZ08,2022,70.0,22.3,22.4,222.8
DE11,2022,147.0,5.2,36.2,393.1
DE12,2022,127.0,5.8,36.2,411.4
DE13,2022,109.0,2.3,33.2,247.8
DE14,2022,125.0,2.1,35.0,216.7
DE21,2022,172.0,4.3,42.3,274.5
DE22,2022,119.0,,27.2,121.8
DE23,2022,124.0,,30.4,115.3
DE24,2022,109.0,3.0,27.4,146.4
DE25,2022,128.0,2.7,33.5,246.7
DE26,2022,115.0,2.2,29.8,154.9
DE27,2022,111.0,2.2,29.8,193.3
DE30,2022,123.0,15.1,48.2,4320.5
DE40,2022,88.0,2.9,29.5,87.6
DE50,2022,139.0,5.6,31.0,1754.8
DE60,2022,202.0,9.2,38.1,2596.2
DE71,2022,146.0,8.1,34.6,542.8
DE72,2022,99.0,2.6,31.3,194.2
DE73,2022,107.0,2.4,25.9,146.2
DE80,2022,86.0,3.5,25.5,70.6
DE91,2022,126.0,3.1,32.8,196.7
DE92,2022,110.0,5.9,30.5,237.3
DE93,2022,85.0,2.6,27.7,112.0
DE94,2022,108.0,5.2,27.9,171.6
DEA1,2022,119.0,8.9,28.7,1007.8
DEA2,2022,122.0,7.4,34.4,612.5
DEA3,2022,99.0,8.8,27.4,381.8
DEA4,2022,110.0,2.4,26.7,317.6
DEA5,2022,102.0,8.4,26.4,447.4
DEB1,2022,97.0,2.8,26.2,188.7
DEB2,2022,87.0,,29.9,108.3
DEB3,2022,117.0,6.4,32.5,303.7
DEC0,2022,100.0,3.7,26.8,388.7
DED2,2022,94.0,3.8,34.2,204.1
DED4,2022,84.0,2.3,25.0,215.0
DED5,2022,97.0,3.5,35.9,272.1
DEE0,2022,87.0,12.1,25.3,106.7
DEF0,2022,99.0,8.0,26.5,190.2
DEG0,2022,86.0,2.7,27.8,130.9
DK01,2022,192.0,8.6,53.1,772.0
DK02,2022,87.0,7.3,32.9,119.6
DK03,2022,111.0,7.6,34.7,102.8
DK04,2022,113.0,7.1,41.3,105.8
DK05,2022,100.0,7.6,34.8,76.9
EA20,2022,,12.2,34.9,
EE00,2022,84.0,12.0,42.1,31.3
EFTA,2022,,,,29.0
EL30,2022,92.0,19.4,45.6,1003.4
EL41,2022,41.0,9.5,26.7,51.3
EL42,2022,65.0,12.5,28.6,62.5
EL43,2022,57.0,14.1,28.9,75.0
EL51,2022,44.0,14.1,27.6,40.0
EL52,2022,54.0,15.5,33.1,96.6
EL53,2022,56.0,11.9,27.6,27.3
EL54,2022,43.0,13.0,30.9,35.1
EL61,2022,51.0,10.8,33.5,49.1
EL62,2022,58.0,16.7,18.5,89.3
EL63,2022,49.0,10.7,25.4,58.4
EL64,2022,63.0,17.6,22.7,32.8
EL65,2022,59.0,15.1,26.5,34.7
ES11,2022,81.0,13.9,42.2,91.8
ES12,2022,81.0,17.8,43.3,95.2
ES13,2022,81.0,14.1,45.3,111.4
ES21,2022,111.0,16.3,55.0,307.5
ES22,2022,106.0,18.6,48.3,64.6
ES23,2022,93.0,14.6,41.8,63.8
ES24,2022,100.0,15.4,42.5,28.1
ES30,2022,120.0,16.2,49.8,853.9
ES41,2022,84.0,14.1,39.8,25.4
ES42,2022,73.0,20.1,31.4,26.2
ES43,2022,67.0,23.2,31.8,25.8
ES51,2022,101.0,16.2,43.6,245.0
ES52,2022,76.0,18.9,37.2,223.1
ES53,2022,95.0,14.3,33.8,241.0
ES61,2022,66.0,26.4,35.0,98.5
ES62,2022,74.0,17.6,30.9,136.3
ES63,2022,65.0,38.0,21.1,4152.7
ES64,2022,60.0,37.5,34.0,6086.6
ES70,2022,68.0,23.5,36.6,296.3
FI19,2022,95.0,14.3,40.7,23.7
FI1B,2022,135.0,16.6,50.5,189.5
FI1C,2022,94.0,13.6,37.3,36.4
FI1D,2022,93.0,14.5,38.2,6.2
FI20,2022,109.0,,36.1,19.5
FR10,2022,159.0,11.7,55.0,1037.0
FRB0,2022,80.0,13.4,34.9,65.8
FRC1,2022,82.0,13.3,34.5,51.4
FRC2,2022,74.0,12.9,36.8,72.8
FRD1,2022,78.0,10.9,33.8,83.3
FRD2,2022,85.0,13.6,35.4,152.0
FRE1,2022,81.0,15.1,34.6,328.3
FRE2,2022,75.0,16.7,31.8,99.0
FRF1,2022,89.0,13.7,40.5,233.1
FRF2,2022,89.0,14.1,28.9,51.3
FRF3,2022,70.0,11.1,30.3,98.7
FRG0,2022,87.0,11.3,40.0,120.8
FRH0,2022,82.0,10.1,42.1,125.3
FRI1,2022,85.0,13.3,41.2,86.2
FRI2,2022,73.0,17.0,35.9,42.9
FRI3,2022,80.0,14.2,36.8,70.8
FRJ1,2022,74.0,15.6,37.6,107.4
FRJ2,2022,86.0,9.0,44.3,69.6
FRK1,2022,77.0,11.2,33.8,52.6
FRK2,2022,96.0,13.1,46.8,153.9
FRL0,2022,104.0,12.9,41.9,165.9
FRM0,2022,76.0,6.1,32.2,40.7
FRY1,2022,66.0,26.9,24.2,246.7
FRY2,2022,69.0,16.5,29.3,326.8
FRY3,2022,45.0,27.1,22.0,3.5
FRY4,2022,63.0,25.5,24.0,356.7
FRY5,2022,27.0,,,835.4
HR02,2022,50.0,16.5,17.4,44.1
HR03,2022,69.0,11.2,25.1,52.9
HR05,2022,119.0,11.2,44.5,
HR06,2022,59.0,5.5,20.1,
HU11,2022,163.0,10.3,55.8,3277.9
HU12,2022,66.0,5.8,32.3,210.5
HU21,2022,70.0,1.6,22.6,99.1
HU22,2022,70.0,7.5,22.8,87.7
HU23,2022,52.0,13.6,22.0,62.5
HU31,2022,49.0,13.3,20.0,82.6
HU32,2022,49.0,17.5,20.8,80.9
HU33,2022,55.0,13.2,22.8,66.4
IE04,2022,102.0,4.8,49.6,36.7
IE05,2022,269.0,8.0,50.5,58.6
IE06,2022,265.0,11.1,57.0,179.9
IS00,2022,,7.3,42.9,3.8
ITC1,2022,100.0,9.6,19.9,169.1
ITC2,2022,127.0,5.4,19.6,38.0
ITC3,2022,102.0,11.5,22.3,278.9
ITC4,2022,133.0,6.4,21.8,432.1
ITF1,2022,83.0,11.1,21.6,117.9
ITF2,2022,72.0,15.1,20.2,65.6
ITF3,2022,63.0,25.3,16.9,412.0
ITF4,2022,64.0,14.1,16.2,202.9
ITF5,2022,75.0,6.6,17.5,53.8
ITF6,2022,57.0,16.7,16.6,121.9
ITG1,2022,61.0,22.9,15.2,187.7
ITG2,2022,71.0,14.7,17.9,66.2
ITH1,2022,162.0,3.2,18.1,72.4
ITH2,2022,127.0,4.9,21.4,88.0
ITH3,2022,110.0,6.4,19.7,279.5
ITH4,2022,104.0,7.7,21.3,157.8
ITH5,2022,118.0,7.0,22.8,200.6
ITI1,2022,103.0,8.0,21.5,160.6
ITI2,2022,83.0,10.2,22.5,103.3
ITI3,2022,90.0,8.3,22.6,158.3
ITI4,2022,115.0,11.0,26.7,337.2
LI00,2022,,,,250.0
LT01,2022,131.0,14.9,62.1,88.4
LT02,2022,70.0,16.9,39.7,37.5
LU00,2022,252.0,8.7,52.3,252.6
LV00,2022,69.0,14.9,39.5,29.7
ME00,2022,49.0,,,45.3
MK00,2022,42.0,,,73.7
MT00,2022,105.0,4.4,31.8,1696.8
NL11,2022,140.0,7.2,42.4,251.3
NL12,2022,101.0,6.4,34.1,193.3
NL13,2022,94.0,4.7,36.6,187.2
NL21,2022,114.0,4.6,40.9,350.4
NL22,2022,113.0,6.0,42.4,424.4
NL23,2022,102.0,6.6,35.9,306.4
NL31,2022,,6.0,56.1,981.3
NL32,2022,175.0,5.8,51.6,1064.7
NL33,2022,,6.4,45.7,1310.9
NL34,2022,110.0,3.3,32.1,215.7
NL35,2022,159.0,,,
NL36,2022,129.0,,,
NL41,2022,136.0,4.6,43.0,526.0
NL42,2022,111.0,6.3,37.8,520.8
NO02,2022,,,39.2,7.5
NO06,2022,,2.5,47.3,12.1
NO07,2022,,2.2,42.9,4.5
NO08,2022,,9.8,51.9,
NO09,2022,,8.4,42.3,
NO0A,2022,,6.9,48.6,
PL21,2022,70.0,3.3,36.2,220.9
PL22,2022,82.0,2.5,33.0,350.5
PL41,2022,82.0,2.5,28.9,116.9
PL42,2022,64.0,2.4,33.0,72.9
PL43,2022,64.0,,28.8,69.2
PL51,2022,84.0,15.5,36.1,142.5
PL52,2022,64.0,2.7,28.0,96.6
PL61,2022,65.0,4.8,28.2,110.9
PL62,2022,56.0,3.4,28.0,57.0
PL63,2022,77.0,2.6,38.6,129.8
PL71,2022,74.0,3.8,30.4,129.8
